time,year,month,pop,dpopdt,PF,PV,mvd,season1,season2,season3,season4,season5,season6,hadISD,Min_Temp,Max_Temp,Mean_Temp
1997,1997,1,3760447,0,70,112,0,0.6667,0.1667,0,0,0,0.1667,52.5609,7.18,30,19.6897311827957
1997.0833,1997,2,3760447,0,73,145,0,0.4792,0.4792,0.0208,0,0,0.0208,45.7497,7.15,37.78,22.484747023809526
1997.1667,1997,3,3760447,0,40,180,0,0.1667,0.6667,0.1667,0,0,0,38.4403,16.38,39.28,28.499341397849463
1997.25,1997,4,3760447,0,61,278,3,0.0208,0.4792,0.4792,0.0208,0,0,43.6317,18.92,41.78,30.500958333333333
1997.3333,1997,5,3760447,0,52,347,7.2,0,0.1667,0.6667,0.1667,0,0,44.6799,21.27,44,33.91438172043011
1997.4167,1997,6,3760447,0,134,588,4.12,0,0.0208,0.4792,0.4792,0.0208,0,70.7939,22.38,41.39,30.639875
1997.5,1997,7,3760447,0,236,1313,4.45,0,0,0.1667,0.6667,0.1667,0,76.9848,19.26,35.72,30.331774193548387
1997.5833,1997,8,3760447,0,257,959,4.32,0,0,0.0208,0.4792,0.4792,0.0208,80.42,23.27,35.5,29.041572580645163
1997.6667,1997,9,3760447,0,429,717,0.7,0,0,0,0.1667,0.6667,0.1667,75.9385,23.77,35,29.291555555555554
1997.75,1997,10,3760447,0,668,653,1.4,0.0208,0,0,0.0208,0.4792,0.4792,63.8396,18.31,36.61,27.957056451612903
1997.8333,1997,11,3760447,0,891,749,0.42,0.1667,0,0,0,0.1667,0.6667,62.4493,14.49,35.22,25.553291666666667
1997.9167,1997,12,3760447,0,467,200,2.9,0.4792,0.0208,0,0,0.0208,0.4792,60.9509,9.58,30.39,20.477043010752688
1998,1998,1,3840840,0,151,150,0.27,0.6667,0.1667,0,0,0,0.1667,52.1779,6.2,31.28,20.318965053763442
1998.0833,1998,2,3840840,0,101,215,0.32,0.4792,0.4792,0.0208,0,0,0.0208,49.2822,8.32,34.61,22.198363095238093
1998.1667,1998,3,3840840,0,43,179,0.45,0.1667,0.6667,0.1667,0,0,0,37.6635,14.02,42,27.7125
1998.25,1998,4,3840840,0,32,253,0,0.0208,0.4792,0.4792,0.0208,0,0,36.556,20.52,45,33.30952777777778
1998.3333,1998,5,3840840,0,87,453,0.82,0,0.1667,0.6667,0.1667,0,0,36.4816,23.5,45.5,36.35290322580645
1998.4167,1998,6,3840840,0,72,387,2.12,0,0.0208,0.4792,0.4792,0.0208,0,55.2248,24.95,43.11,34.516930555555554
1998.5,1998,7,3840840,0,117,933,3.4,0,0,0.1667,0.6667,0.1667,0,76.6781,24.33,36,30.113924731182795
1998.5833,1998,8,3840840,0,348,1208,1.62,0,0,0.0208,0.4792,0.4792,0.0208,77.9681,23.57,38.39,29.80918010752688
1998.6667,1998,9,3840840,0,783,1188,1.04,0,0,0,0.1667,0.6667,0.1667,77.8992,20.57,36,29.324583333333333
1998.75,1998,10,3840840,0,426,429,0.89,0.0208,0,0,0.0208,0.4792,0.4792,68.1504,16.89,37,28.461102150537634
