time,year,month,PF,pop,dpopdt,season1,season2,season3,season4,season5,season6,Mean_Temp,Min_Temp,Max_Temp,RH
1997,1997,1,70,3760447,0,0.6667,0.1667,0,0,0,0.1667,19.5828,8.4789,29.3478,44.8736
1997.0833,1997,2,73,3760447,0,0.4792,0.4792,0.0208,0,0,0.0208,21.9007,9.7469,35.8276,38.0789
1997.1667,1997,3,40,3760447,0,0.1667,0.6667,0.1667,0,0,0,27.3043,16.5337,37.5934,33.2326
1997.25,1997,4,61,3760447,0,0.0208,0.4792,0.4792,0.0208,0,0,29.1253,17.7443,41.1788,39.2208
1997.3333,1997,5,52,3760447,0,0,0.1667,0.6667,0.1667,0,0,32.172,22.7805,42.2068,42.5622
1997.4167,1997,6,134,3760447,0,0,0.0208,0.4792,0.4792,0.0208,0,30.0876,23.7732,38.5749,69.7638
1997.5,1997,7,236,3760447,0,0,0,0.1667,0.6667,0.1667,0,28.9243,25.5052,34.3491,76.9455
1997.5833,1997,8,257,3760447,0,0,0,0.0208,0.4792,0.4792,0.0208,27.702,24.1794,32.652,81.0938
1997.6667,1997,9,429,3760447,0,0,0,0,0.1667,0.6667,0.1667,26.9597,21.9233,31.7294,82.8608
1997.75,1997,10,668,3760447,0,0.0208,0,0,0.0208,0.4792,0.4792,25.9584,18.0866,33.6335,66.5253
1997.8333,1997,11,891,3760447,0,0.1667,0,0,0,0.1667,0.6667,24.5358,15.5377,32.8547,57.2621
1997.9167,1997,12,467,3760447,0,0.4792,0.0208,0,0,0.0208,0.4792,20.5972,13.1481,28.7505,57.8284
1998,1998,1,151,3840840,0,0.6667,0.1667,0,0,0,0.1667,20.5101,8.3161,30.5863,44.3957
1998.0833,1998,2,101,3840840,0,0.4792,0.4792,0.0208,0,0,0.0208,21.779,9.6243,32.5765,41.5951
1998.1667,1998,3,43,3840840,0,0.1667,0.6667,0.1667,0,0,0,26.6779,15.5139,39.4705,36.4621
1998.25,1998,4,32,3840840,0,0.0208,0.4792,0.4792,0.0208,0,0,31.5008,20.5652,41.6932,38.3589
1998.3333,1998,5,87,3840840,0,0,0.1667,0.6667,0.1667,0,0,34.1327,23.0724,43.7682,39.3529
1998.4167,1998,6,72,3840840,0,0,0.0208,0.4792,0.4792,0.0208,0,32.8826,25.2424,43.0525,58.1146
1998.5,1998,7,117,3840840,0,0,0,0.1667,0.6667,0.1667,0,29.2991,25.8278,35.4754,73.9511
1998.5833,1998,8,348,3840840,0,0,0,0.0208,0.4792,0.4792,0.0208,28.4773,24.5048,36.1321,78.8781
1998.6667,1998,9,783,3840840,0,0,0,0,0.1667,0.6667,0.1667,28.5048,23.076,35.0888,77.0198
1998.75,1998,10,426,3840840,0,0.0208,0,0,0.0208,0.4792,0.4792,27.1878,18.3576,35.4965,68.7365
1998.8333,1998,11,270,3840840,0,0.1667,0,0,0,0.1667,0.6667,24.3309,13.8506,34.4441,50.2283
1998.9167,1998,12,209,3840840,0,0.4792,0.0208,0,0,0.0208,0.4792,20.8759,11.6134,30.8482,48.7952
1999,1999,1,94,3922952,0,0.6667,0.1667,0,0,0,0.1667,19.5318,9.9288,30.0139,47.9484
1999.0833,1999,2,71,3922952,0,0.4792,0.4792,0.0208,0,0,0.0208,23.6298,12.5926,33.655,49.6445
1999.1667,1999,3,34,3922952,0,0.1667,0.6667,0.1667,0,0,0,26.6772,13.9653,40.3817,32.4968
1999.25,1999,4,50,3922952,0,0.0208,0.4792,0.4792,0.0208,0,0,31.2169,20.0884,41.3199,31.0472
1999.3333,1999,5,44,3922952,0,0,0.1667,0.6667,0.1667,0,0,32.0113,23.7905,42.2334,51.6143
1999.4167,1999,6,31,3922952,0,0,0.0208,0.4792,0.4792,0.0208,0,30.8409,24.7547,39.7775,62.4601
1999.5,1999,7,25,3922952,0,0,0,0.1667,0.6667,0.1667,0,29.0521,25.0687,35.1788,72.7163
1999.5833,1999,8,137,3922952,0,0,0,0.0208,0.4792,0.4792,0.0208,29.0228,24.8075,35.4153,67.8172
1999.6667,1999,9,253,3922952,0,0,0,0,0.1667,0.6667,0.1667,30.5601,24.54,37.5477,58.2328
1999.75,1999,10,277,3922952,0,0.0208,0,0,0.0208,0.4792,0.4792,27.4116,18.7214,36.0698,62.9731
1999.8333,1999,11,284,3922952,0,0.1667,0,0,0,0.1667,0.6667,25.1968,14.8553,35.9835,38.3644
1999.9167,1999,12,205,3922952,0,0.4792,0.0208,0,0,0.0208,0.4792,21.0687,12.2646,30.9663,39.9769
2000,2000,1,83,4006819,0,0.6667,0.1667,0,0,0,0.1667,20.5945,10.701,30.9304,44.8217
2000.0833,2000,2,40,4006819,0,0.4792,0.4792,0.0208,0,0,0.0208,21.4671,12.1181,34.5807,38.4121
2000.1667,2000,3,24,4006819,0,0.1667,0.6667,0.1667,0,0,0,26.4638,14.1853,39.5591,29.8266
2000.25,2000,4,18,4006819,0,0.0208,0.4792,0.4792,0.0208,0,0,31.9053,20.8669,42.4128,35.5133
2000.3333,2000,5,26,4006819,0,0,0.1667,0.6667,0.1667,0,0,32.1529,24.1647,41.6117,53.8931
2000.4167,2000,6,24,4006819,0,0,0.0208,0.4792,0.4792,0.0208,0,32.9518,26.2444,42.0475,52.5746
2000.5,2000,7,33,4006819,0,0,0,0.1667,0.6667,0.1667,0,27.9346,24.0043,33.2514,78.2538
2000.5833,2000,8,132,4006819,0,0,0,0.0208,0.4792,0.4792,0.0208,28.1216,23.9971,34.2115,76.7612
2000.6667,2000,9,171,4006819,0,0,0,0,0.1667,0.6667,0.1667,28.8594,22.4135,37.7983,65.2322
2000.75,2000,10,132,4006819,0,0.0208,0,0,0.0208,0.4792,0.4792,30.1969,19.3097,39.8164,38.2225
2000.8333,2000,11,115,4006819,0,0.1667,0,0,0,0.1667,0.6667,25.4823,14.3986,35.791,37.5948
2000.9167,2000,12,70,4006819,0,0.4792,0.0208,0,0,0.0208,0.4792,21.3434,12.7855,31.6624,39.3072
2001,2001,1,77,4663533,0,0.6667,0.1667,0,0,0,0.1667,20.5203,10.8713,31.7517,35.0823
2001.0833,2001,2,36,4663533,0,0.4792,0.4792,0.0208,0,0,0.0208,22.8861,10.1735,33.6411,32.2128
2001.1667,2001,3,16,4663533,0,0.1667,0.6667,0.1667,0,0,0,27.4008,14.8457,37.2025,31.9822
2001.25,2001,4,19,4663533,0,0.0208,0.4792,0.4792,0.0208,0,0,31.189,19.7151,41.3584,29.7317
