Year,Month,PF,PV,mvd
1997,1,70,112,0
1997,2,73,145,0
1997,3,40,180,0
1997,4,61,278,3
1997,5,52,347,7.2
1997,6,134,588,4.12
1997,7,236,1313,4.45
1997,8,257,959,4.32
1997,9,429,717,0.7
1997,10,668,653,1.4
1997,11,891,749,0.42
1997,12,467,200,2.9
1998,1,151,150,0.27
1998,2,101,215,0.32
1998,3,43,179,0.45
1998,4,32,253,0
1998,5,87,453,0.82
1998,6,72,387,2.12
1998,7,117,933,3.4
1998,8,348,1208,1.62
1998,9,783,1188,1.04
1998,10,426,429,0.89
1998,11,270,363,0.52
1998,12,209,185,1.05
1999,1,94,143,0.12
1999,2,71,130,0.12
1999,3,34,205,0.27
1999,4,50,270,0.52
1999,5,44,374,1.29
1999,6,31,509,0.79
1999,7,25,604,2.56
1999,8,137,1206,0.14
1999,9,253,758,0.29
1999,10,277,432,0.43
1999,11,284,247,0.2
1999,12,205,167,0.56
2000,1,83,102,0.06
2000,2,40,111,0.08
2000,3,24,154,0.02
2000,4,18,169,0.27
2000,5,26,283,0.56
2000,6,24,380,0.47
2000,7,33,396,0.64
2000,8,132,707,0.97
2000,9,171,613,0.56
2000,10,132,235,0.5
2000,11,115,240,0.16
2000,12,70,133,0.36
2001,1,77,74,0.04
2001,2,36,55,0.66
2001,3,16,99,1.04
2001,4,19,156,1
2001,5,17,212,0.54
2001,6,12,354,10.62
2001,7,35,638,3.45
2001,8,132,855,2.33
2001,9,228,667,0.83
2001,10,152,284,0.62
2001,11,150,152,2.17
2001,12,74,121,1.97
2002,1,55,143,0.16
2002,2,26,96,0.15
2002,3,10,55,0
2002,4,17,157,0.5
2002,5,3,162,0.35
2002,6,9,184,0.79
2002,7,43,507,3.46
2002,8,93,878,1.37
2002,9,155,819,0.62
2002,10,109,327,0.33
2002,11,71,134,0.66
2002,12,60,138,0.81
2003,1,53,152,0.42
2003,2,19,145,0.25
2003,3,13,104,0.92
2003,4,24,189,0.58
2003,5,7,201,0.46
2003,6,21,308,1.79
2003,7,19,611,1.41
2003,8,131,987,3.04
2003,9,188,854,0.45
2003,10,241,407,0.37
2003,11,213,225,0.46
2003,12,187,145,0.88
2004,1,120,82,0.33
2004,2,73,74,0.06
2004,3,41,99,0.17
2004,4,25,198,0.66
2004,5,20,277,0.58
2004,6,18,381,1.45
2004,7,34,499,6.54
2004,8,187,1231,0.37
2004,9,501,994,0.42
2004,10,334,652,0.37
2004,11,607,373,0.33
2004,12,354,228,0.95
2005,1,173,168,0.08
2005,2,86,150,0
2005,3,65,162,0.32
2005,4,42,195,0.77
2005,5,46,297,0.78
2005,6,21,343,0.2
2005,7,144,1014,1.62
2005,8,364,1542,1.7
2005,9,570,1012,0.55
2005,10,528,493,0.27
2005,11,486,292,0.21
2005,12,234,166,0.55
2006,1,91,85,0.03
2006,2,62,73,0.03
2006,3,68,120,0.37
2006,4,22,201,0.15
2006,5,13,313,0.2
2006,6,43,368,0.82
2006,7,196,652,0.32
2006,8,466,1106,0.41
2006,9,429,540,0.05
2006,10,333,162,0.17
2006,11,315,150,0.05
2006,12,179,67,0.22
2007,1,59,47,0
2007,2,29,32,0.17
2007,3,37,65,0.27
2007,4,27,130,0.47
2007,5,16,195,0.32
2007,6,19,260,0.21
2007,7,34,399,0.98
2007,8,273,766,0.44
2007,9,672,664,0.43
2007,10,499,394,0.1
2007,11,278,102,0.29
2007,12,161,71,0.31
2008,1,44,37,0.04
2008,2,24,44,0.02
2008,3,22,79,0.1
2008,4,20,148,0
2008,5,15,292,0.08
2008,6,6,330,0.1
2008,7,67,688,0.31
2008,8,288,1124,0.08
2008,9,381,728,0.04
2008,10,293,304,0.02
2008,11,173,146,0.06
2008,12,66,56,0.07
2009,1,49,40,0.02
2009,2,25,48,0.02
2009,3,20,206,0.06
2009,4,22,263,0
2009,5,8,243,0.08
2009,6,6,333,0.19
2009,7,8,390,0.54
2009,8,210,1157,0.19
2009,9,145,1115,0.27
2009,10,146,448,0.1
2009,11,255,297,0.13
2009,12,128,115,0.14
2010,1,29,54,0.06
2010,2,6,52,0
2010,3,22,137,0.06
2010,4,30,220,0.13
2010,5,13,267,0.13
2010,6,21,400,0.19
2010,7,25,423,0.38
2010,8,207,1288,0.17
2010,9,410,1245,0.08
2010,10,378,690,0.15
2010,11,364,324,0.08
2010,12,415,173,0.12
