time,year,month,pop,dpopdt,PF,PV,mvd,season1,season2,season3,season4,season5,season6,Max_Temp,Min_Temp,Rainfall,RH_synoptic,ERA5,GSOD,REF,ERA5_RF,GSOD_RF,hadISD
1997,1997,1,3760447,0,70,112,0,0.6667,0.1667,0,0,0,0.1667,27.2,11.9,11.5,50.25,51.765,38.984,42.012,44.993,44.602,54.88
1997.0833333333333,1997,2,3767146,6699,73,145,0,0.4792,0.4792,0.0208,0,0,0.0208,30.8,13.3,0,44.25,44.48,30.98,36.18,41.358,38.04,49.33
1997.1666666666667,1997,3,3773846,6700,40,180,0,0.1667,0.6667,0.1667,0,0,0,35.7,20.3,0,36,38.334,30.17,34.128,37.913,35.226,41.08
1997.25,1997,4,3780545,6699,61,278,3,0.0208,0.4792,0.4792,0.0208,0,0,37.1,23,9.2,43.25,43.028,38.868,48.276,48.192,46.111,45.82
1997.3333333333333,1997,5,3787245,6700,52,347,7.2,0,0.1667,0.6667,0.1667,0,0,40.6,26,18.4,47.5,46.408,44.499,60.48,55.386,55.453,48.69
1997.4166666666667,1997,6,3793944,6699,134,588,4.12,0,0.0208,0.4792,0.4792,0.0208,0,34.6,26.1,726.1,73.5,74.043,69.508,74.088,73.911,70.829,74.67
1997.5,1997,7,3800644,6700,236,1313,4.45,0,0,0.1667,0.6667,0.1667,0,33.7,26.7,146.7,79.75,80.507,75.134,78.732,77.09,74.376,81.19
1997.5833333333333,1997,8,3807343,6699,257,959,4.32,0,0,0.0208,0.4792,0.4792,0.0208,32.2,25.4,304.5,82.75,84.104,78.912,79.596,77.636,77.549,84.56
1997.6666666666667,1997,9,3814042,6699,429,717,0.7,0,0,0,0.1667,0.6667,0.1667,32.8,25.3,85.4,78.5,78.97,80.079,75.276,74.844,74.673,80.17
1997.75,1997,10,3820742,6700,668,653,1.4,0.0208,0,0,0.0208,0.4792,0.4792,33.9,21.6,0.8,63.75,64.614,54.085,55.62,58.08,56.494,67.01
1997.8333333333333,1997,11,3827441,6699,891,749,0.42,0.1667,0,0,0,0.1667,0.6667,32.3,19,3.4,63.5,62.694,49.262,54.864,56.039,55.819,65.38
1997.9166666666667,1997,12,3834141,6700,467,200,2.9,0.4792,0.0208,0,0,0.0208,0.4792,26.8,14.5,0,60.25,60.236,55.296,58.536,60.35,59.038,62.13
