time,year,month,PF,pop,dpopdt,season1,season2,season3,season4,season5,season6,Mean_Temp,Min_Temp,Max_Temp,RH
1997,1997,1,70,3760447,0,0.6667,0.1667,0,0,0,0.1667,19.0069,7,29,54.8828
1997.0833,1997,2,73,3760447,0,0.4792,0.4792,0.0208,0,0,0.0208,21.2959,7,37,49.334
1997.1667,1997,3,40,3760447,0,0.1667,0.6667,0.1667,0,0,0,27.6408,16,38,41.0826
1997.25,1997,4,61,3760447,0,0.0208,0.4792,0.4792,0.0208,0,0,29.8112,19,42,45.8158
1997.3333,1997,5,52,3760447,0,0,0.1667,0.6667,0.1667,0,0,32.4767,22.8,43,48.6897
1997.4167,1997,6,134,3760447,0,0,0.0208,0.4792,0.4792,0.0208,0,29.7625,22,40.4,74.6702
1997.5,1997,7,236,3760447,0,0,0,0.1667,0.6667,0.1667,0,29.4293,25.4,35,81.1898
1997.5833,1997,8,257,3760447,0,0,0,0.0208,0.4792,0.4792,0.0208,28.1747,24,35,84.5576
1997.6667,1997,9,429,3760447,0,0,0,0,0.1667,0.6667,0.1667,28.3523,24,35,80.17
1997.75,1997,10,668,3760447,0,0.0208,0,0,0.0208,0.4792,0.4792,27.1397,19,35.4,67.0114
1997.8333,1997,11,891,3760447,0,0.1667,0,0,0,0.1667,0.6667,24.9793,14,34,65.3758
1997.9167,1997,12,467,3760447,0,0.4792,0.0208,0,0,0.0208,0.4792,20.038,10.4,29,62.133
1998,1998,1,151,3840840,0,0.6667,0.1667,0,0,0,0.1667,19.5763,6,30.6,54.2337
1998.0833,1998,2,101,3840840,0,0.4792,0.4792,0.0208,0,0,0.0208,21.7927,8.4,34,49.6661
1998.1667,1998,3,43,3840840,0,0.1667,0.6667,0.1667,0,0,0,27.5057,15,42,38.2601
1998.25,1998,4,32,3840840,0,0.0208,0.4792,0.4792,0.0208,0,0,32.4666,22,45,37.4012
1998.3333,1998,5,87,3840840,0,0,0.1667,0.6667,0.1667,0,0,34.8519,24,44.2,40.1361
1998.4167,1998,6,72,3840840,0,0,0.0208,0.4792,0.4792,0.0208,0,33.317,25,43,58.2547
1998.5,1998,7,117,3840840,0,0,0,0.1667,0.6667,0.1667,0,29.3656,25,36,79.682
1998.5833,1998,8,348,3840840,0,0,0,0.0208,0.4792,0.4792,0.0208,29.1023,23.5,37,81.2904
1998.6667,1998,9,783,3840840,0,0,0,0,0.1667,0.6667,0.1667,28.7098,22,36,80.4653
1998.75,1998,10,426,3840840,0,0.0208,0,0,0.0208,0.4792,0.4792,28.0538,17,37,69.4444
1998.8333,1998,11,270,3840840,0,0.1667,0,0,0,0.1667,0.6667,22.7944,10.2,35,64.8623
