time,temp,dew,date,RH
569784,16.8,14.7,1996-01-01T05:30:00Z,87.43
569787,17.6,14.8,1996-01-01T08:30:00Z,83.65
569790,23.8,15.9,1996-01-01T11:30:00Z,61.28
569793,26.2,15.4,1996-01-01T14:30:00Z,51.43
569796,25.4,14.8,1996-01-01T17:30:00Z,51.89
569799,21.8,15.1,1996-01-01T20:30:00Z,65.72
569802,20.2,13.6,1996-01-01T23:30:00Z,65.8
569805,19.4,15.3,1996-01-02T02:30:00Z,77.18
569808,18.4,16,1996-01-02T05:30:00Z,85.92
569811,18.4,15.7,1996-01-02T08:30:00Z,84.28
569814,24,16.5,1996-01-02T11:30:00Z,62.91
569817,26,17.4,1996-01-02T14:30:00Z,59.11
569820,25.2,17.2,1996-01-02T17:30:00Z,61.21
569823,22.4,17.6,1996-01-02T20:30:00Z,74.29
569826,21,16,1996-01-02T23:30:00Z,73.11
569829,18.6,15.2,1996-01-03T02:30:00Z,80.61
569832,16.6,13.8,1996-01-03T05:30:00Z,83.54
569835,16.4,13.6,1996-01-03T08:30:00Z,83.52
569838,22.8,14.3,1996-01-03T11:30:00Z,58.73
569844,24.8,11.4,1996-01-03T17:30:00Z,43.07
569847,20.4,12.6,1996-01-03T20:30:00Z,60.89
569850,18.2,12.5,1996-01-03T23:30:00Z,69.37
569853,18.2,11.2,1996-01-04T02:30:00Z,63.67
569856,17,11.5,1996-01-04T05:30:00Z,70.05
569859,16.8,11.3,1996-01-04T08:30:00Z,70.01
569862,23,13.8,1996-01-04T11:30:00Z,56.17
569865,25.6,15,1996-01-04T14:30:00Z,51.94
569868,24.8,14.8,1996-01-04T17:30:00Z,53.78
569871,21,15.3,1996-01-04T20:30:00Z,69.91
569874,19.6,12.5,1996-01-04T23:30:00Z,63.56
569877,17.4,12.4,1996-01-05T02:30:00Z,72.47
569880,17.8,11.6,1996-01-05T05:30:00Z,67.04
569883,18,11.4,1996-01-05T08:30:00Z,65.33
569886,23.4,15.1,1996-01-05T11:30:00Z,59.63
569889,26.2,16.5,1996-01-05T14:30:00Z,55.18
569892,26,17,1996-01-05T17:30:00Z,57.63
569898,19.8,15.8,1996-01-05T23:30:00Z,77.74
569901,18,14.2,1996-01-06T02:30:00Z,78.47
569904,16,13.1,1996-01-06T05:30:00Z,82.93
569907,16.4,12,1996-01-06T08:30:00Z,75.21
569913,26.8,15.7,1996-01-06T14:30:00Z,50.61
569916,26,15.5,1996-01-06T17:30:00Z,52.38
569919,21.2,15.9,1996-01-06T20:30:00Z,71.76
569922,18.6,14.1,1996-01-06T23:30:00Z,75.09
569925,16.4,13.6,1996-01-07T02:30:00Z,83.52
569928,15,12.5,1996-01-07T05:30:00Z,85.01
569931,16.6,11.9,1996-01-07T08:30:00Z,73.77
569934,24,16.1,1996-01-07T11:30:00Z,61.32
569937,26.4,15.6,1996-01-07T14:30:00Z,51.49
569940,25.6,13.4,1996-01-07T17:30:00Z,46.83
569943,20.8,13.1,1996-01-07T20:30:00Z,61.38
569946,18.4,13.1,1996-01-07T23:30:00Z,71.25
569949,17.6,13,1996-01-08T02:30:00Z,74.43
569952,16.4,12.8,1996-01-08T05:30:00Z,79.27
569955,16.2,11.8,1996-01-08T08:30:00Z,75.18
569958,21.6,14.45,1996-01-08T11:30:00Z,63.8
569961,27,17.1,1996-01-08T14:30:00Z,54.68
569964,26.4,17.1,1996-01-08T17:30:00Z,56.65
569967,22.2,16.7,1996-01-08T20:30:00Z,71.04
569970,20.2,14.8,1996-01-08T23:30:00Z,71.12
