YEAR,INSECTICIDE MOLECULE,PLAN DWELLINGS,ROUND ,SPRAYED DWELLINGS,% DWELLINGS  COVERAGE UNDER IRS
2012,Alphacypermethrin 5% WP ,504305,1,358555,71.10
2012,Alphacypermethrin 5% WP ,504305,2,486369,96.44
2013,Alphacypermethrin 5% WP ,740192,1,717867,96.98
2013,Alphacypermethrin 5% WP ,740192,2,609707,82.37
2014,Alphacypermethrin 5% WP ,445000,1,436548,98.10
2014,Alphacypermethrin 5% WP ,445000,2,427083,95.97
2015,Lamdacyhalothrin 10% WP ,785607,1,709137,90.27
2015,Lamdacyhalothrin 10% WP ,785607,2,723493,92.09
2016,Lamdacyhalothrin 10% WP ,759458,1,513344,67.59
2016,Lamdacyhalothrin 10% WP ,759458,2,751356,98.93
2017,Lamdacyhalothrin 10% WP ,854813,1,759881,88.89
2017,Lamdacyhalothrin 10% WP ,854813,2,771690,90.28
2018,Lamdacyhalothrin 10% WP ,777938,1,690478,88.76
2018,Lamdacyhalothrin 10% WP ,777938,2,672207,86.41
2019,Lamdacyhalothrin 10 CS,248020,1,193802,78.14
2020,Lamdacyhalothrin 10 CS,825267,1,654460,79.30
2021,Lamdacyhalothrin 10 CS,853841,1,683255,80.02
2022,Lamdacyhalothrin 10 CS,773919,1,683723,88.35
2023,Lamdacyhalothrin 10 CS,235588,1,130412,55.36
