id,lat,long,alt,filename,name
389440-99999,37.483,69.383,448,hadisd.3.4.2.202501p_19310101-20250201_389440-99999.nc,PARKHAR
389470-99999,37.233,69.083,363,hadisd.3.4.2.202501p_19310101-20250201_389470-99999.nc,PYANDJ
389540-99999,37.5,71.5,2077,hadisd.3.4.2.202501p_19310101-20250201_389540-99999.nc,KHOROG
409130-99999,36.667,68.917,433,hadisd.3.4.2.202501p_19310101-20250201_409130-99999.nc,KUNDUZ
409480-99999,34.566,69.212,1791.3,hadisd.3.4.2.202501p_19310101-20250201_409480-99999.nc,KABUL INTL
415235-99999,34.817,72.35,970,hadisd.3.4.2.202501p_19310101-20250201_415235-99999.nc,SAIDU SHARIF
415300-99999,34.017,71.583,360,hadisd.3.4.2.202501p_19310101-20250201_415300-99999.nc,PESHAWAR
415360-99999,34.383,73.35,981,hadisd.3.4.2.202501p_19310101-20250201_415360-99999.nc,BALAKOT
415710-99999,33.617,73.099,508.4,hadisd.3.4.2.202501p_19310101-20250201_415710-99999.nc,CHAKLALA
415940-99999,32.05,72.667,188,hadisd.3.4.2.202501p_19310101-20250201_415940-99999.nc,SARGODHA
415980-99999,32.933,73.717,234,hadisd.3.4.2.202501p_19310101-20250201_415980-99999.nc,JHELUM
416200-99999,31.358,69.464,1417.3,hadisd.3.4.2.202501p_19310101-20250201_416200-99999.nc,ZHOB
416240-99999,31.909,70.897,181.1,hadisd.3.4.2.202501p_19310101-20250201_416240-99999.nc,D I KHAN
416300-99999,31.433,73.1,184,hadisd.3.4.2.202501p_19310101-20250201_416300-99999.nc,FAISALABAD
416400-99999,31.55,74.333,214,hadisd.3.4.2.202501p_19310101-20250201_416400-99999.nc,LAHORE CITY
416410-99999,31.522,74.404,217,hadisd.3.4.2.202501p_19310101-20250201_416410-99999.nc,ALLAMA IQBAL INTL
416750-99999,30.203,71.419,121.9,hadisd.3.4.2.202501p_19310101-20250201_416750-99999.nc,MULTAN INTL
416850-99999,29.883,69.717,1097,hadisd.3.4.2.202501p_19310101-20250201_416850-99999.nc,BAR KHAN
417680-99999,25.517,69.783,6,hadisd.3.4.2.202501p_19310101-20250201_417680-99999.nc,CHHOR
419220-99999,23.843,90.398,9.1,hadisd.3.4.2.202501p_19310101-20250201_419220-99999.nc,HAZRAT SHAHJALAL INTL
419780-99999,22.25,91.813,3.7,hadisd.3.4.2.202501p_19310101-20250201_419780-99999.nc,SHAH AMANAT INTL
420270-99999,34.083,74.833,1587,hadisd.3.4.2.202501p_19310101-20250201_420270-99999.nc,SRINAGAR
420710-99999,31.71,74.797,230.4,hadisd.3.4.2.202501p_19310101-20250201_420710-99999.nc,AMRITSAR
421010-99999,30.333,76.467,251,hadisd.3.4.2.202501p_19310101-20250201_421010-99999.nc,PATIALA
421110-99999,30.317,78.033,682,hadisd.3.4.2.202501p_19310101-20250201_421110-99999.nc,DEHRADUN
421310-99999,29.179,75.755,213.4,hadisd.3.4.2.202501p_19310101-20250201_421310-99999.nc,HISSAR
421650-99999,28,73.3,224,hadisd.3.4.2.202501p_19310101-20250201_421650-99999.nc,BIKANER
421810-99999,28.567,77.103,236.8,hadisd.3.4.2.202501p_19310101-20250201_421810-99999.nc,INDIRA GANDHI INTL
421820-99999,28.585,77.206,214.9,hadisd.3.4.2.202501p_19310101-20250201_421820-99999.nc,SAFDARJUNG
421890-99999,28.422,79.451,176.8,hadisd.3.4.2.202501p_19310101-20250201_421890-99999.nc,BAREILLY
423090-99999,27.295,94.098,100.6,hadisd.3.4.2.202501p_19310101-20250201_423090-99999.nc,LILABARI
423140-99999,27.484,95.017,110.3,hadisd.3.4.2.202501p_19310101-20250201_423140-99999.nc,DIBRUGARH
423280-99999,26.9,70.917,231,hadisd.3.4.2.202501p_19310101-20250201_423280-99999.nc,JAISALMER
423390-99999,26.251,73.049,218.5,hadisd.3.4.2.202501p_19310101-20250201_423390-99999.nc,JODHPUR
423480-99999,26.824,75.812,385,hadisd.3.4.2.202501p_19310101-20250201_423480-99999.nc,JAIPUR
423610-99999,26.293,78.228,188.1,hadisd.3.4.2.202501p_19310101-20250201_423610-99999.nc,GWALIOR
423690-99999,26.761,80.889,125,hadisd.3.4.2.202501p_19310101-20250201_423690-99999.nc,LUCKNOW
423790-99999,26.74,83.45,78.9,hadisd.3.4.2.202501p_19310101-20250201_423790-99999.nc,GORAKHPUR
424100-99999,26.106,91.586,49.4,hadisd.3.4.2.202501p_19310101-20250201_424100-99999.nc,GUWAHATI INTL
424520-99999,25.16,75.846,273.1,hadisd.3.4.2.202501p_19310101-20250201_424520-99999.nc,KOTA
424750-99999,25.44,81.734,98.2,hadisd.3.4.2.202501p_19310101-20250201_424750-99999.nc,ALLAHABAD ARPT
424790-99999,25.45,82.867,81.1,hadisd.3.4.2.202501p_19310101-20250201_424790-99999.nc,LAL BAHADUR SHASTRI
424920-99999,25.591,85.088,51.8,hadisd.3.4.2.202501p_19310101-20250201_424920-99999.nc,PATNA
425590-99999,24.65,77.317,478,hadisd.3.4.2.202501p_19310101-20250201_425590-99999.nc,GUNA
425710-99999,24.567,80.833,317,hadisd.3.4.2.202501p_19310101-20250201_425710-99999.nc,SATNA
425870-99999,24.05,84.067,221,hadisd.3.4.2.202501p_19310101-20250201_425870-99999.nc,DALTONGANJ
425910-99999,24.744,84.951,115.8,hadisd.3.4.2.202501p_19310101-20250201_425910-99999.nc,GAYA
426230-99999,24.76,93.897,774.2,hadisd.3.4.2.202501p_19310101-20250201_426230-99999.nc,IMPHAL
426340-99999,23.288,69.67,81.7,hadisd.3.4.2.202501p_19310101-20250201_426340-99999.nc,BHUJ
426470-99999,23.077,72.635,57.6,hadisd.3.4.2.202501p_19310101-20250201_426470-99999.nc,AHMEDABAD
426670-99999,23.287,77.337,524,hadisd.3.4.2.202501p_19310101-20250201_426670-99999.nc,BHOPAL
426750-99999,23.178,80.052,495,hadisd.3.4.2.202501p_19310101-20250201_426750-99999.nc,JABALPUR
427010-99999,23.314,85.322,654.7,hadisd.3.4.2.202501p_19310101-20250201_427010-99999.nc,BIRSA MUNDA
427056-99999,13.2,77.7,915,hadisd.3.4.2.202501p_19310101-20250201_427056-99999.nc,BANGALURU INTL AIRPORT
427060-99999,23.383,87.083,100,hadisd.3.4.2.202501p_19310101-20250201_427060-99999.nc,BANKURA
427240-99999,23.887,91.24,14,hadisd.3.4.2.202501p_19310101-20250201_427240-99999.nc,AGARTALA
427370-99999,22.309,70.78,134.4,hadisd.3.4.2.202501p_19310101-20250201_427370-99999.nc,RAJKOT
427540-99999,22.722,75.801,563.9,hadisd.3.4.2.202501p_19310101-20250201_427540-99999.nc,DEVI AHILYABAI HOLKAR
427790-99999,22.767,81.9,625,hadisd.3.4.2.202501p_19310101-20250201_427790-99999.nc,PENDRA ROAD
427980-99999,22.813,86.169,153.9,hadisd.3.4.2.202501p_19310101-20250201_427980-99999.nc,JAMSHEDPUR
428090-99999,22.655,88.447,4.9,hadisd.3.4.2.202501p_19310101-20250201_428090-99999.nc,NETAJI SUBHASH CHANDRA BOSE I
428400-99999,21.2,72.833,12,hadisd.3.4.2.202501p_19310101-20250201_428400-99999.nc,SURAT
428670-99999,21.092,79.047,314.9,hadisd.3.4.2.202501p_19310101-20250201_428670-99999.nc,DR AMBEDKAR INTL
428740-99999,21.233,81.65,298,hadisd.3.4.2.202501p_19310101-20250201_428740-99999.nc,PBO RAIPUR
428750-99999,21.183,81.733,317.6,hadisd.3.4.2.202501p_19310101-20250201_428750-99999.nc,SWAMI VIVEKANANDA
428860-99999,21.914,84.05,228.9,hadisd.3.4.2.202501p_19310101-20250201_428860-99999.nc,JHARSUGUDA
428950-99999,21.517,86.933,20,hadisd.3.4.2.202501p_19310101-20250201_428950-99999.nc,BALASORE
429090-99999,20.9,70.367,8,hadisd.3.4.2.202501p_19310101-20250201_429090-99999.nc,VERAVAL
429210-99999,19.967,73.817,598,hadisd.3.4.2.202501p_19310101-20250201_429210-99999.nc,NASIK CITY
429330-99999,20.7,77.033,282,hadisd.3.4.2.202501p_19310101-20250201_429330-99999.nc,AKOLA
429710-99999,20.244,85.818,42.1,hadisd.3.4.2.202501p_19310101-20250201_429710-99999.nc,BHUBANESHWAR
430030-99999,19.089,72.868,11.3,hadisd.3.4.2.202501p_19310101-20250201_430030-99999.nc,CHHATRAPATI SHIVAJI INTL
430140-99999,19.863,75.398,582.5,hadisd.3.4.2.202501p_19310101-20250201_430140-99999.nc,AURANGABAD
430410-99999,19.083,82.033,553,hadisd.3.4.2.202501p_19310101-20250201_430410-99999.nc,JAGDALPUR
430630-99999,18.533,73.85,558,hadisd.3.4.2.202501p_19310101-20250201_430630-99999.nc,PUNE
430860-99999,18.767,79.433,156,hadisd.3.4.2.202501p_19310101-20250201_430860-99999.nc,RAMGUNDAM
431100-99999,16.983,73.333,67,hadisd.3.4.2.202501p_19310101-20250201_431100-99999.nc,RATNAGIRI
431170-99999,17.628,75.935,482.8,hadisd.3.4.2.202501p_19310101-20250201_431170-99999.nc,SHOLAPUR
431280-99999,17.452,78.461,531,hadisd.3.4.2.202501p_19310101-20250201_431280-99999.nc,BEGUMPET AIRPORT
431285-99999,17.233,78.417,617,hadisd.3.4.2.202501p_19310101-20250201_431285-99999.nc,HYDERABAD INTL AIRPORT
431490-99999,17.717,83.217,4.6,hadisd.3.4.2.202501p_19310101-20250201_431490-99999.nc,VISHAKHAPATNAM CTLZ
431500-99999,17.7,83.3,66,hadisd.3.4.2.202501p_19310101-20250201_431500-99999.nc,CWC VISHAKHAPATNAM/WALTAIR
431850-99999,16.2,81.15,3,hadisd.3.4.2.202501p_19310101-20250201_431850-99999.nc,MACHILIPATNAM/FRANCHPET
431890-99999,16.95,82.233,8,hadisd.3.4.2.202501p_19310101-20250201_431890-99999.nc,KAKINADA
431920-99999,15.483,73.817,58.4,hadisd.3.4.2.202501p_19310101-20250201_431920-99999.nc,GOA/PANJIM
431980-99999,15.859,74.618,758,hadisd.3.4.2.202501p_19310101-20250201_431980-99999.nc,BELGAUM
432010-99999,15.417,75.633,650,hadisd.3.4.2.202501p_19310101-20250201_432010-99999.nc,GADAG
432130-99999,15.8,78.067,281,hadisd.3.4.2.202501p_19310101-20250201_432130-99999.nc,KURNOOL
432260-99999,14.283,74.45,9,hadisd.3.4.2.202501p_19310101-20250201_432260-99999.nc,HONAVAR
432330-99999,14.233,76.433,733,hadisd.3.4.2.202501p_19310101-20250201_432330-99999.nc,CHITRADURGA
432370-99999,14.583,77.633,364,hadisd.3.4.2.202501p_19310101-20250201_432370-99999.nc,PBO ANANTAPUR
432450-99999,14.45,79.983,20,hadisd.3.4.2.202501p_19310101-20250201_432450-99999.nc,NELLORE
432790-99999,12.994,80.181,15.8,hadisd.3.4.2.202501p_19310101-20250201_432790-99999.nc,CHENNAI INTL
432840-99999,12.961,74.89,102.7,hadisd.3.4.2.202501p_19310101-20250201_432840-99999.nc,MANGALORE
432950-99999,12.967,77.583,921,hadisd.3.4.2.202501p_19310101-20250201_432950-99999.nc,BANGALORE
432960-99999,12.95,77.633,888,hadisd.3.4.2.202501p_19310101-20250201_432960-99999.nc,BANGALORE/HINDUSTAN AIRPORT
433140-99999,11.25,75.783,5,hadisd.3.4.2.202501p_19310101-20250201_433140-99999.nc,KOZHIKODE
433210-99999,11.031,77.044,403.6,hadisd.3.4.2.202501p_19310101-20250201_433210-99999.nc,COIMBATORE
433290-99999,11.767,79.767,12,hadisd.3.4.2.202501p_19310101-20250201_433290-99999.nc,CUDDALORE
433330-99999,11.667,92.717,79,hadisd.3.4.2.202501p_19310101-20250201_433330-99999.nc,PORT BLAIR
433440-99999,10.765,78.71,87.8,hadisd.3.4.2.202501p_19310101-20250201_433440-99999.nc,TIRUCHIRAPPALLI
433460-99999,10.917,79.833,7,hadisd.3.4.2.202501p_19310101-20250201_433460-99999.nc,KARAIKAL
433530-99999,9.946,76.272,2.4,hadisd.3.4.2.202501p_19310101-20250201_433530-99999.nc,COCHIN
433710-99999,8.483,76.95,64,hadisd.3.4.2.202501p_19310101-20250201_433710-99999.nc,THIRUVANANTHAPURAM
433720-99999,8.482,76.92,4.6,hadisd.3.4.2.202501p_19310101-20250201_433720-99999.nc,THIRUVANANTHAPURAM INTL
444540-99999,27.697,85.359,1338.1,hadisd.3.4.2.202501p_19310101-20250201_444540-99999.nc,TRIBHUVAN INTL
480960-99999,16.9,96.183,29,hadisd.3.4.2.202501p_19310101-20250201_480960-99999.nc,MINGALADON
480970-99999,16.907,96.133,33.2,hadisd.3.4.2.202501p_19310101-20250201_480970-99999.nc,YANGON INTL
486001-99999,21.702,95.978,91.4,hadisd.3.4.2.202501p_19310101-20250201_486001-99999.nc,MANDALAY INTL
518280-99999,37.133,79.933,1375,hadisd.3.4.2.202501p_19310101-20250201_518280-99999.nc,HOTAN
518390-99999,37.067,82.717,1409,hadisd.3.4.2.202501p_19310101-20250201_518390-99999.nc,MINFENG
