time,year,month,PF,pop,dpopdt,season1,season2,season3,season4,season5,season6,Mean_Temp,Min_Temp,Max_Temp,RH
1997,1997,1,192,2277405.338,169393.6875,0.6667,0.1667,0,0,0,0.1667,21.8583,13.782,28.8748,49.6648
1997.0833,1997,2,123,2277405.338,169386.4453,0.4793,0.479,0.0208,0,0,0.0209,23.2797,13.6307,34.5333,46.9615
1997.1667,1997,3,82,2277405.338,169380.7382,0.1666,0.6667,0.1668,0,0,0,27.908,19.3768,36.3318,42.5797
1997.25,1997,4,71,2277405.338,169376.5798,0.0208,0.4792,0.4792,0.0208,0,0,28.5514,20.4373,38.9476,55.0168
1997.3333,1997,5,60,2277405.338,169374.7772,0,0.1668,0.6667,0.1666,0,0,29.6388,24.5195,37.2301,65.4962
1997.4167,1997,6,122,2277405.338,169376.1484,0,0.0208,0.479,0.4793,0.0209,0,28.8632,23.4746,34.6333,79.5766
1997.5,1997,7,263,2277405.338,169380.6901,0,0,0.1667,0.6667,0.1667,0,27.7846,25.3254,30.9251,85.6789
1997.5833,1997,8,444,2277405.338,169388.1508,0,0,0.0209,0.4793,0.479,0.0208,27.0332,24.8017,29.7452,86.7026
1997.6667,1997,9,772,2277405.338,169398.2925,0,0,0,0.1666,0.6667,0.1668,26.8799,22.6968,30.6065,84.3979
1997.75,1997,10,691,2277405.338,169411.0911,0.0208,0,0,0.0208,0.4792,0.4792,27.4708,20.8617,33.9192,64.5919
1997.8333,1997,11,408,2277405.338,169426.6658,0.1666,0,0,0,0.1668,0.6667,27.2092,20.2552,33.3827,59.2115
1997.9167,1997,12,320,2277405.338,169445.1497,0.4793,0.0209,0,0,0.0208,0.479,23.2045,16.4528,30.2386,62.7804
1998,1998,1,194,2406827.247,169466.4982,0.6667,0.1667,0,0,0,0.1667,23.2505,13.3907,31.5239,51.124
1998.0833,1998,2,89,2406827.247,169490.6809,0.4793,0.479,0.0208,0,0,0.0209,23.6082,14.9593,31.9691,49.2866
1998.1667,1998,3,50,2406827.247,169517.6807,0.1666,0.6667,0.1668,0,0,0,26.7004,17.8949,36.7268,49.6527
1998.25,1998,4,32,2406827.247,169547.4329,0.0208,0.4792,0.4792,0.0208,0,0,29.8987,22.6055,38.8035,59.7928
1998.3333,1998,5,26,2406827.247,169579.9882,0,0.1668,0.6667,0.1666,0,0,31.5949,25.5339,39.5576,62.8432
1998.4167,1998,6,40,2406827.247,169615.4109,0,0.0208,0.479,0.4793,0.0209,0,30.1596,26.2212,36.4889,75.2769
1998.5,1998,7,70,2406827.247,169653.6159,0,0,0.1667,0.6667,0.1667,0,27.8345,25.6223,30.4164,86.0779
1998.5833,1998,8,221,2406827.247,169694.6457,0,0,0.0209,0.4793,0.479,0.0208,27.6327,25.5083,32.2418,86.0167
1998.6667,1998,9,727,2406827.247,169738.5561,0,0,0,0.1666,0.6667,0.1668,27.9271,25.1366,34.1467,82.8986
1998.75,1998,10,799,2406827.247,169785.2417,0.0208,0,0,0.0208,0.4792,0.4792,27.4404,20.9794,34.1743,75.822
1998.8333,1998,11,645,2406827.247,169834.7298,0.1666,0,0,0,0.1668,0.6667,25.8644,18.3794,32.7619,56.7923
1998.9167,1998,12,379,2406827.247,169887.0611,0.4793,0.0209,0,0,0.0208,0.479,23.2845,15.8803,30.8452,47.8712
1999,1999,1,236,2543604.031,169942.11,0.6667,0.1667,0,0,0,0.1667,21.6616,14.0229,29.808,52.3153
1999.0833,1999,2,115,2543604.031,169999.9944,0.4793,0.479,0.0208,0,0,0.0209,25.359,14.9298,33.766,53.8257
1999.1667,1999,3,65,2543604.031,170060.8453,0.1666,0.6667,0.1668,0,0,0,27.3795,18.6148,38.8244,44.4076
1999.25,1999,4,75,2543604.031,170124.5169,0.0208,0.4792,0.4792,0.0208,0,0,29.2737,21.4297,38.1211,58.5118
1999.3333,1999,5,95,2543604.031,170190.9655,0,0.1668,0.6667,0.1666,0,0,29.2171,25.162,35.1512,70.3923
1999.4167,1999,6,196,2543604.031,170260.1608,0,0.0208,0.479,0.4793,0.0209,0,28.6336,25.714,33.8289,77.6836
1999.5,1999,7,435,2543604.031,170331.937,0,0,0.1667,0.6667,0.1667,0,27.3886,24.87,30.7204,85.1662
1999.5833,1999,8,882,2543604.031,170406.6011,0,0,0.0209,0.4793,0.479,0.0208,26.8597,24.6345,29.629,85.0264
