time,year,month,pop,PF,time_end
1997,1997,1,2277405.338,192,1997.0833333333333
1997.0833,1997,2,2277405.338,123,1997.1666666666667
1997.1667,1997,3,2277405.338,82,1997.25
1997.25,1997,4,2277405.338,71,1997.3333333333333
1997.3333,1997,5,2277405.338,60,1997.4166666666667
1997.4167,1997,6,2277405.338,122,1997.5
1997.5,1997,7,2277405.338,263,1997.5833333333333
1997.5833,1997,8,2277405.338,444,1997.6666666666667
1997.6667,1997,9,2277405.338,772,1997.75
1997.75,1997,10,2277405.338,691,1997.8333333333333
1997.8333,1997,11,2277405.338,408,1997.9166666666667
1997.9167,1997,12,2277405.338,320,1998
1998,1998,1,2406827.247,194,1998.0833333333333
1998.0833,1998,2,2406827.247,89,1998.1666666666667
1998.1667,1998,3,2406827.247,50,1998.25
1998.25,1998,4,2406827.247,32,1998.3333333333333
1998.3333,1998,5,2406827.247,26,1998.4166666666667
1998.4167,1998,6,2406827.247,40,1998.5
1998.5,1998,7,2406827.247,70,1998.5833333333333
1998.5833,1998,8,2406827.247,221,1998.6666666666667
1998.6667,1998,9,2406827.247,727,1998.75
1998.75,1998,10,2406827.247,799,1998.8333333333333
1998.8333,1998,11,2406827.247,645,1998.9166666666667
1998.9167,1998,12,2406827.247,379,1999
1999,1999,1,2543604.031,236,1999.0833333333333
1999.0833,1999,2,2543604.031,115,1999.1666666666667
1999.1667,1999,3,2543604.031,65,1999.25
1999.25,1999,4,2543604.031,75,1999.3333333333333
1999.3333,1999,5,2543604.031,95,1999.4166666666667
1999.4167,1999,6,2543604.031,196,1999.5
1999.5,1999,7,2543604.031,435,1999.5833333333333
1999.5833,1999,8,2543604.031,882,1999.6666666666667
1999.6667,1999,9,2543604.031,885,1999.75
1999.75,1999,10,2543604.031,704,1999.8333333333333
1999.8333,1999,11,2543604.031,426,1999.9166666666667
1999.9167,1999,12,2543604.031,298,2000
2000,2000,1,2688153.657,146,2000.0833333333333
2000.0833,2000,2,2688153.657,77,2000.1666666666667
2000.1667,2000,3,2688153.657,41,2000.25
2000.25,2000,4,2688153.657,31,2000.3333333333333
2000.3333,2000,5,2688153.657,69,2000.4166666666667
2000.4167,2000,6,2688153.657,136,2000.5
2000.5,2000,7,2688153.657,420,2000.5833333333333
2000.5833,2000,8,2688153.657,643,2000.6666666666667
2000.6667,2000,9,2688153.657,764,2000.75
2000.75,2000,10,2688153.657,578,2000.8333333333333
2000.8333,2000,11,2688153.657,427,2000.9166666666667
2000.9167,2000,12,2688153.657,250,2001
2001,2001,1,2876374,180,2001.0833333333333
2001.0833,2001,2,2876374,69,2001.1666666666667
2001.1667,2001,3,2876374,54,2001.25
2001.25,2001,4,2876374,31,2001.3333333333333
2001.3333,2001,5,2876374,44,2001.4166666666667
2001.4167,2001,6,2876374,109,2001.5
2001.5,2001,7,2876374,298,2001.5833333333333
2001.5833,2001,8,2876374,868,2001.6666666666667
2001.6667,2001,9,2876374,1300,2001.75
2001.75,2001,10,2876374,750,2001.8333333333333
2001.8333,2001,11,2876374,672,2001.9166666666667
2001.9167,2001,12,2876374,406,2002
2002,2002,1,3045652.862,270,2002.0833333333333
2002.0833,2002,2,3045652.862,152,2002.1666666666667
2002.1667,2002,3,3045652.862,63,2002.25
2002.25,2002,4,3045652.862,65,2002.3333333333333
2002.3333,2002,5,3045652.862,52,2002.4166666666667
2002.4167,2002,6,3045652.862,30,2002.5
2002.5,2002,7,3045652.862,163,2002.5833333333333
2002.5833,2002,8,3045652.862,268,2002.6666666666667
2002.6667,2002,9,3045652.862,610,2002.75
2002.75,2002,10,3045652.862,689,2002.8333333333333
2002.8333,2002,11,3045652.862,303,2002.9166666666667
2002.9167,2002,12,3045652.862,261,2003
2003,2003,1,3224894.035,156,2003.0833333333333
2003.0833,2003,2,3224894.035,69,2003.1666666666667
2003.1667,2003,3,3224894.035,58,2003.25
2003.25,2003,4,3224894.035,27,2003.3333333333333
2003.3333,2003,5,3224894.035,34,2003.4166666666667
2003.4167,2003,6,3224894.035,29,2003.5
2003.5,2003,7,3224894.035,146,2003.5833333333333
2003.5833,2003,8,3224894.035,313,2003.6666666666667
2003.6667,2003,9,3224894.035,667,2003.75
2003.75,2003,10,3224894.035,583,2003.8333333333333
2003.8333,2003,11,3224894.035,294,2003.9166666666667
2003.9167,2003,12,3224894.035,363,2004
2004,2004,1,3414683.816,145,2004.0833333333333
2004.0833,2004,2,3414683.816,61,2004.1666666666667
2004.1667,2004,3,3414683.816,51,2004.25
2004.25,2004,4,3414683.816,34,2004.3333333333333
2004.3333,2004,5,3414683.816,36,2004.4166666666667
2004.4167,2004,6,3414683.816,35,2004.5
2004.5,2004,7,3414683.816,189,2004.5833333333333
2004.5833,2004,8,3414683.816,527,2004.6666666666667
2004.6667,2004,9,3414683.816,616,2004.75
2004.75,2004,10,3414683.816,436,2004.8333333333333
2004.8333,2004,11,3414683.816,327,2004.9166666666667
2004.9167,2004,12,3414683.816,336,2005
2005,2005,1,3615643.006,165,2005.0833333333333
2005.0833,2005,2,3615643.006,72,2005.1666666666667
2005.1667,2005,3,3615643.006,43,2005.25
2005.25,2005,4,3615643.006,29,2005.3333333333333
2005.3333,2005,5,3615643.006,30,2005.4166666666667
2005.4167,2005,6,3615643.006,40,2005.5
2005.5,2005,7,3615643.006,84,2005.5833333333333
2005.5833,2005,8,3615643.006,265,2005.6666666666667
2005.6667,2005,9,3615643.006,618,2005.75
2005.75,2005,10,3615643.006,612,2005.8333333333333
2005.8333,2005,11,3615643.006,400,2005.9166666666667
2005.9167,2005,12,3615643.006,311,2006
2006,2006,1,3828428.941,161,2006.0833333333333
2006.0833,2006,2,3828428.941,82,2006.1666666666667
2006.1667,2006,3,3828428.941,47,2006.25
2006.25,2006,4,3828428.941,32,2006.3333333333333
2006.3333,2006,5,3828428.941,51,2006.4166666666667
2006.4167,2006,6,3828428.941,84,2006.5
2006.5,2006,7,3828428.941,214,2006.5833333333333
2006.5833,2006,8,3828428.941,1012,2006.6666666666667
2006.6667,2006,9,3828428.941,1434,2006.75
2006.75,2006,10,3828428.941,577,2006.8333333333333
2006.8333,2006,11,3828428.941,670,2006.9166666666667
2006.9167,2006,12,3828428.941,531,2007
2007,2007,1,4053737.643,221,2007.0833333333333
2007.0833,2007,2,4053737.643,86,2007.1666666666667
2007.1667,2007,3,4053737.643,52,2007.25
2007.25,2007,4,4053737.643,43,2007.3333333333333
2007.3333,2007,5,4053737.643,98,2007.4166666666667
2007.4167,2007,6,4053737.643,80,2007.5
2007.5,2007,7,4053737.643,161,2007.5833333333333
2007.5833,2007,8,4053737.643,529,2007.6666666666667
2007.6667,2007,9,4053737.643,886,2007.75
2007.75,2007,10,4053737.643,1107,2007.8333333333333
2007.8333,2007,11,4053737.643,689,2007.9166666666667
2007.9167,2007,12,4053737.643,435,2008
2008,2008,1,4072928,163,2008.0833333333333
2008.0833,2008,2,4072928,57,2008.1666666666667
2008.1667,2008,3,4072928,28,2008.25
2008.25,2008,4,4072928,57,2008.3333333333333
2008.3333,2008,5,4072928,39,2008.4166666666667
2008.4167,2008,6,4072928,66,2008.5
2008.5,2008,7,4072928,284,2008.5833333333333
2008.5833,2008,8,4072928,528,2008.6666666666667
2008.6667,2008,9,4072928,1521,2008.75
2008.75,2008,10,4072928,1058,2008.8333333333333
2008.8333,2008,11,4072928,618,2008.9166666666667
2008.9167,2008,12,4072928,230,2009
2009,2009,1,4243741,208,2009.0833333333333
2009.0833,2009,2,4243741,115,2009.1666666666667
2009.1667,2009,3,4243741,95,2009.25
2009.25,2009,4,4243741,39,2009.3333333333333
2009.3333,2009,5,4243741,40,2009.4166666666667
2009.4167,2009,6,4243741,60,2009.5
2009.5,2009,7,4243741,145,2009.5833333333333
2009.5833,2009,8,4243741,580,2009.6666666666667
2009.6667,2009,9,4243741,741,2009.75
2009.75,2009,10,4243741,714,2009.8333333333333
2009.8333,2009,11,4243741,539,2009.9166666666667
2009.9167,2009,12,4243741,297,2010
2010,2010,1,4414554,146,2010.0833333333333
2010.0833,2010,2,4414554,80,2010.1666666666667
2010.1667,2010,3,4414554,52,2010.25
2010.25,2010,4,4414554,36,2010.3333333333333
2010.3333,2010,5,4414554,28,2010.4166666666667
2010.4167,2010,6,4414554,16,2010.5
2010.5,2010,7,4414554,154,2010.5833333333333
2010.5833,2010,8,4414554,519,2010.6666666666667
2010.6667,2010,9,4414554,860,2010.75
2010.75,2010,10,4414554,1067,2010.8333333333333
2010.8333,2010,11,4414554,817,2010.9166666666667
2010.9167,2010,12,4414554,503,2011
2011,2011,1,4585367,159,2011.0833333333333
2011.0833,2011,2,4585367,53,2011.1666666666667
2011.1667,2011,3,4585367,35,2011.25
2011.25,2011,4,4585367,38,2011.3333333333333
2011.3333,2011,5,4585367,15,2011.4166666666667
2011.4167,2011,6,4585367,34,2011.5
2011.5,2011,7,4585367,120,2011.5833333333333
2011.5833,2011,8,4585367,563,2011.6666666666667
2011.6667,2011,9,4585367,1051,2011.75
2011.75,2011,10,4585367,739,2011.8333333333333
2011.8333,2011,11,4585367,406,2011.9166666666667
2011.9167,2011,12,4585367,254,2012
2012,2012,1,4706296,82,2012.0833333333333
2012.0833,2012,2,4706296,32,2012.1666666666667
2012.1667,2012,3,4706296,11,2012.25
