time,year,month,PF,pop,dpopdt,season1,season2,season3,season4,season5,season6,Mean_Temp,Min_Temp,Max_Temp,RH
1997,1997,1,192,2277405.338,169393.6875,0.6667,0.1667,0,0,0,0.1667,21.885,14.6,29.2,46.8688
1997.0833,1997,2,123,2277405.338,169386.4453,0.4793,0.479,0.0208,0,0,0.0209,24.0616,16.4,35,42.0664
1997.1667,1997,3,82,2277405.338,169380.7382,0.1666,0.6667,0.1668,0,0,0,28.8463,21.9,39.8,40.1037
1997.25,1997,4,71,2277405.338,169376.5798,0.0208,0.4792,0.4792,0.0208,0,0,29.3211,23.2,39.2,52.2859
1997.3333,1997,5,60,2277405.338,169374.7772,0,0.1668,0.6667,0.1666,0,0,30.55,26.2,36.6,63.5119
1997.4167,1997,6,122,2277405.338,169376.1484,0,0.0208,0.479,0.4793,0.0209,0,29.5683,24.6,35.6,75.1329
1997.5,1997,7,263,2277405.338,169380.6901,0,0,0.1667,0.6667,0.1667,0,28.9917,25.6,32.6,79.0364
1997.5833,1997,8,444,2277405.338,169388.1508,0,0,0.0209,0.4793,0.479,0.0208,28.2811,25,31.4,79.808
1997.6667,1997,9,772,2277405.338,169398.2925,0,0,0,0.1666,0.6667,0.1668,28.3324,25,31.8,76.0822
1997.75,1997,10,691,2277405.338,169411.0911,0.0208,0,0,0.0208,0.4792,0.4792,28.9553,18.2,35.6,58.4308
1997.8333,1997,11,408,2277405.338,169426.6658,0.1666,0,0,0,0.1668,0.6667,27.7475,20.6,34.6,57.9067
1997.9167,1997,12,320,2277405.338,169445.1497,0.4793,0.0209,0,0,0.0208,0.479,23.1019,10.8,30.6,60.9397
1998,1998,1,194,2406827.247,169466.4982,0.6667,0.1667,0,0,0,0.1667,23.1255,13.6,31.6,52.0403
1998.0833,1998,2,89,2406827.247,169490.6809,0.4793,0.479,0.0208,0,0,0.0209,24.8553,16.8,33.4,45.9462
1998.1667,1998,3,50,2406827.247,169517.6807,0.1666,0.6667,0.1668,0,0,0,28.1693,19.6,37.6,47.5559
1998.25,1998,4,32,2406827.247,169547.4329,0.0208,0.4792,0.4792,0.0208,0,0,31.0605,23.1,40.2,59.6322
1998.3333,1998,5,26,2406827.247,169579.9882,0,0.1668,0.6667,0.1666,0,0,32.6498,28,40.6,62.7343
1998.4167,1998,6,40,2406827.247,169615.4109,0,0.0208,0.479,0.4793,0.0209,0,31.4475,26.6,38.8,70.3286
1998.5,1998,7,70,2406827.247,169653.6159,0,0,0.1667,0.6667,0.1667,0,29.4158,24.9,33.6,78.5627
1998.5833,1998,8,221,2406827.247,169694.6457,0,0,0.0209,0.4793,0.479,0.0208,28.7326,25.8,33.8,80.619
1998.6667,1998,9,727,2406827.247,169738.5561,0,0,0,0.1666,0.6667,0.1668,29.0174,25.2,36,76.8762
1998.75,1998,10,799,2406827.247,169785.2417,0.0208,0,0,0.0208,0.4792,0.4792,29.0752,23.2,35.6,70.1977
1998.8333,1998,11,645,2406827.247,169834.7298,0.1666,0,0,0,0.1668,0.6667,26.6682,20.4,33.6,56.9915
1998.9167,1998,12,379,2406827.247,169887.0611,0.4793,0.0209,0,0,0.0208,0.479,24.2415,12.8,32.2,50.5563
1999,1999,1,236,2543604.031,169942.11,0.6667,0.1667,0,0,0,0.1667,23.004,13.6,30.6,53.1188
1999.0833,1999,2,115,2543604.031,169999.9944,0.4793,0.479,0.0208,0,0,0.0209,26.3569,16.8,34.6,53.6134
1999.1667,1999,3,65,2543604.031,170060.8453,0.1666,0.6667,0.1668,0,0,0,28.8607,20.4,39.6,47.1772
1999.25,1999,4,75,2543604.031,170124.5169,0.0208,0.4792,0.4792,0.0208,0,0,30.5721,25.6,39.6,60.5529
1999.3333,1999,5,95,2543604.031,170190.9655,0,0.1668,0.6667,0.1666,0,0,30.4954,27,35.8,69.8443
1999.4167,1999,6,196,2543604.031,170260.1608,0,0.0208,0.479,0.4793,0.0209,0,30.2404,26,33.6,72.4516
1999.5,1999,7,435,2543604.031,170331.937,0,0,0.1667,0.6667,0.1667,0,28.7289,25.8,32.2,80.098
1999.5833,1999,8,882,2543604.031,170406.6011,0,0,0.0209,0.4793,0.479,0.0208,28.2321,25.6,31.4,78.0654
1999.6667,1999,9,885,2543604.031,170484.4744,0,0,0,0.1666,0.6667,0.1668,28.7951,25.4,33.8,74.1929
1999.75,1999,10,704,2543604.031,170565.3701,0.0208,0,0,0.0208,0.4792,0.4792,28.3655,23.4,34.6,67.4277
1999.8333,1999,11,426,2543604.031,170648.9306,0.1666,0,0,0,0.1668,0.6667,26.7839,20,33,49.7762
1999.9167,1999,12,298,2543604.031,170734.811,0.4793,0.0209,0,0,0.0208,0.479,23.8505,15,30.6,47.6184
2000,2000,1,146,2688153.657,170822.8055,0.6667,0.1667,0,0,0,0.1667,23.7279,14.4,31.4,48.2195
2000.0833,2000,2,77,2688153.657,170913.9837,0.4793,0.479,0.0208,0,0,0.0209,23.9141,14.8,34.8,46.8328
2000.1667,2000,3,41,2688153.657,171009.4303,0.1666,0.6667,0.1668,0,0,0,27.8388,18.2,38.2,44.6214
2000.25,2000,4,31,2688153.657,171108.9166,0.0208,0.4792,0.4792,0.0208,0,0,30.2576,25.6,38.4,62.0694
2000.3333,2000,5,69,2688153.657,171210.2868,0,0.1668,0.6667,0.1666,0,0,30.027,25.8,34,75.9083
2000.4167,2000,6,136,2688153.657,171311.3942,0,0.0208,0.479,0.4793,0.0209,0,30.4809,24.4,35,76.1716
2000.5,2000,7,420,2688153.657,171411.9964,0,0,0.1667,0.6667,0.1667,0,28.0017,24.6,31.4,87.1897
2000.5833,2000,8,643,2688153.657,171508.8257,0,0,0.0209,0.4793,0.479,0.0208,28.4505,25,32.8,83.7471
2000.6667,2000,9,764,2688153.657,171598.5964,0,0,0,0.1666,0.6667,0.1668,28.8584,23.2,36.6,76.4471
2000.75,2000,10,578,2688153.657,171681.0931,0.0208,0,0,0.0208,0.4792,0.4792,28.6049,18,37.8,70.3728
2000.8333,2000,11,427,2688153.657,171757.4503,0.1666,0,0,0,0.1668,0.6667,25.4172,12,36.5,58.5988
2000.9167,2000,12,250,2688153.657,171828.7729,0.4793,0.0209,0,0,0.0208,0.479,22.7089,10.9,34.1,52.0208
2001,2001,1,180,2876374,171894.8898,0.6667,0.1667,0,0,0,0.1667,21.4708,12,33.2,54.4909
2001.0833,2001,2,69,2876374,171955.3672,0.4793,0.479,0.0208,0,0,0.0209,22.8344,9.4,35,57.0703
2001.1667,2001,3,54,2876374,172009.7443,0.1666,0.6667,0.1668,0,0,0,26.4224,14.2,36.8,63.532
2001.25,2001,4,31,2876374,172057.8906,0.0208,0.4792,0.4792,0.0208,0,0,29.7412,19,39.8,58.9354
2001.3333,2001,5,44,2876374,172100.2435,0,0.1668,0.6667,0.1666,0,0,30.2585,24.8,38.4,73.6202
2001.4167,2001,6,109,2876374,172137.2125,0,0.0208,0.479,0.4793,0.0209,0,29.1702,24.6,34.2,81.6309
2001.5,2001,7,298,2876374,172168.709,0,0,0.1667,0.6667,0.1667,0,27.6859,25,32,86.8856
2001.5833,2001,8,868,2876374,172194.3913,0,0,0.0209,0.4793,0.479,0.0208,27.877,24.8,32,84.1913
2001.6667,2001,9,1300,2876374,172213.8894,0,0,0,0.1666,0.6667,0.1668,29.0605,24,36,78.1589
2001.75,2001,10,750,2876374,172227.1568,0.0208,0,0,0.0208,0.4792,0.4792,28.0408,18.6,36.6,73.2572
2001.8333,2001,11,672,2876374,172234.7909,0.1666,0,0,0,0.1668,0.6667,25.9409,15.2,35.8,54.6361
2001.9167,2001,12,406,2876374,172237.3622,0.4793,0.0209,0,0,0.0208,0.479,22.8847,11.4,33,58.601
