time,temp,dew,date,RH
569784,20.6,16.7,1996-01-01T05:30:00Z,78.35
569787,20.8,17.9,1996-01-01T08:30:00Z,83.49
569790,25.2,17.2,1996-01-01T11:30:00Z,61.21
569793,28.4,17.7,1996-01-01T14:30:00Z,52.33
569796,26.6,20.1,1996-01-01T17:30:00Z,67.54
569799,23.4,18,1996-01-01T20:30:00Z,71.71
569802,22.8,16.6,1996-01-01T23:30:00Z,68.06
569808,20.4,16.1,1996-01-02T05:30:00Z,76.35
569811,19.4,15.3,1996-01-02T08:30:00Z,77.18
569814,25,17.3,1996-01-02T11:30:00Z,62.33
569817,27.2,18.8,1996-01-02T14:30:00Z,60.14
569820,25.8,17.5,1996-01-02T17:30:00Z,60.19
569826,22.2,17,1996-01-02T23:30:00Z,72.4
569829,20,17.1,1996-01-03T02:30:00Z,83.4
569832,19.2,15.9,1996-01-03T05:30:00Z,81.21
569835,18.6,14.5,1996-01-03T08:30:00Z,77.06
569838,25.4,16.7,1996-01-03T11:30:00Z,58.6
569844,27.6,17.1,1996-01-03T17:30:00Z,52.79
569850,21,15.3,1996-01-03T23:30:00Z,69.91
569856,20,15.5,1996-01-04T05:30:00Z,75.32
569859,20.2,15.5,1996-01-04T08:30:00Z,74.39
569862,26.6,15.9,1996-01-04T11:30:00Z,51.87
569865,28.6,17.2,1996-01-04T14:30:00Z,50.12
569871,24.6,17.2,1996-01-04T20:30:00Z,63.44
569880,19.4,13.5,1996-01-05T05:30:00Z,68.7
569883,20,15.3,1996-01-05T08:30:00Z,74.36
569886,25,18.4,1996-01-05T11:30:00Z,66.8
569889,28,16.8,1996-01-05T14:30:00Z,50.6
569892,27.6,17.1,1996-01-05T17:30:00Z,52.79
569895,23.4,16.9,1996-01-05T20:30:00Z,66.9
569898,22,16.8,1996-01-05T23:30:00Z,72.37
569901,20.4,16.4,1996-01-06T02:30:00Z,77.83
569904,19.4,16.1,1996-01-06T05:30:00Z,81.23
569907,18.6,13.7,1996-01-06T08:30:00Z,73.16
569910,24.4,15.1,1996-01-06T11:30:00Z,56.16
569913,26.8,13.2,1996-01-06T14:30:00Z,43.06
569916,26.8,15.7,1996-01-06T17:30:00Z,50.61
