parameter,param,mean,median
a,T0,9.0777684525,9.108435
a,Tm,43.917079225,44.15645
a,b,1.49139183e-4,1.47361e-4
a,sigma,0.016990258425,0.01670715
bc.succ,T0,9.51475332375,9.56532
bc.succ,Tm,39.3961633875,39.37735
bc.succ,b,-1.35529841125,-1.352065
bc.succ,sigma,1.085668693625,1.0854
e2a,T0,15.06534245,15.0721
e2a,Tm,37.404747775,37.392250000000004
e2a,b,-4.89522198875,-4.893805
e2a,sigma,0.10982818635,0.109486
efd,T0,12.7479765375,12.75515
efd,Tm,54.3900896,54.547200000000004
efd,b,-3.00779824375,-3.011085
efd,sigma,3.33892589,3.338125
mdr,T0,10.298836106666666,10.30095
mdr,Tm,38.7093112,38.70525
mdr,b,7.141629456666667e-5,7.14229e-5
mdr,sigma,0.0020153408433333333,0.0019984649999999996
mu,b,7.2856457325e-4,7.277725e-4
mu,inter,0.3660949940875,0.3651255
mu,sigma,0.0206191383875,0.02035705
mu,slope,0.0296918915,0.0296275
pdr,T0,10.447349905,10.58355
pdr,Tm,42.03374285,42.08565
pdr,b,5.75513534e-5,5.630275e-5
pdr,sigma,0.011078232435,0.01088695
