name,parameter,mle,ci_low,ci_high,ci_low_truncated,ci_high_truncated,delta,label
b1,$b_1$,-1.9882291921554356,-4.181453380006755,-1.5203806701687625,FALSE,FALSE,2.0056508430229774,"-1.99 [-4.18, -1.52]"
b2,$b_2$,-0.9461008881965484,-2.3716630455466436,0.7385640593871816,FALSE,FALSE,1.9717258387041874,"-0.946 [-2.37, 0.739]"
b3,$b_3$,-2.5817112645726414,-4.850585282849737,-1.4064523013113925,FALSE,FALSE,1.9510270339595883,"-2.58 [-4.85, -1.41]"
b4,$b_4$,2.7023036332591768,1.3842120761690806,4.743201876409172,FALSE,FALSE,1.9680363588895338,"2.70 [1.38, 4.74]"
b5,$b_5$,0.09202457749559716,-1.4335959398404095,1.0744182916305034,FALSE,FALSE,1.9541321934117837,"0.0920 [-1.43, 1.07]"
b6,$b_6$,-0.01034506192062729,-1.1853455721028503,0.9970343681381646,FALSE,FALSE,2.1757418772356747,"-0.0103 [-1.19, 0.997]"
bH,$b_H$,-1.0887440969939868,-2.1574457488071657,-0.16642720114387277,FALSE,FALSE,1.962552655235387,"-1.09 [-2.16, -0.166]"
betaOUT,$\beta_{out}$,5.748145748265979e-7,4.910760824964784e-6,6.764380882543036e-4,FALSE,FALSE,3.746094230413784,"5.75e-07 [4.91e-06, 6.76e-04]"
alpha,$\alpha$,0.4650109476978452,0.30428165804611473,0.9005529421235685,FALSE,FALSE,1.9786158624830388,"0.465 [0.304, 0.901]"
S1_0,$S_1^0$,0.06013232283664521,0.020007176256735558,0.5490456886777689,FALSE,FALSE,2.059139769439123,"0.0601 [0.0200, 0.549]"
S2_0,$S_2^0$,0.8702730965733265,0.1704201359891434,0.9260946328446524,TRUE,TRUE,NA,"0.870 [<0.170, >0.926]"
E_0,$E^0$,8.04810195010651e-5,3.8331352425464736e-5,0.0017457172228789472,FALSE,FALSE,2.176958311465666,"8.05e-05 [3.83e-05, 0.00175]"
I1_0,$I_1^0$,0.05928543325609162,0.014639570387861282,0.3649347349995912,FALSE,FALSE,2.006523225228349,"0.0593 [0.0146, 0.365]"
I2_0,$I_2^0$,0.01022866631443544,0.007199680487590552,0.23677694011637274,FALSE,FALSE,2.107479806978478,"0.0102 [0.00720, 0.237]"
F_0,$F^0$,0.1314202608624229,0.03971642012460448,0.8043834113011753,FALSE,FALSE,2.0064792584671567,"0.131 [0.0397, 0.804]"
K_0,$K^0$,0.2213626913834788,0.041676470091071435,0.6269139465602582,FALSE,FALSE,1.9837376674872886,"0.221 [0.0417, 0.627]"
muEI1,$\mu_{EI1}$,388.21898602037993,14.25909051424513,573.5800423016043,FALSE,FALSE,2.0121015916722627,"388 [14.3, 574]"
muS2S1,$\mu_{S2S1}$,4.239406029140802,0.05225906496446717,72.4734273773402,FALSE,FALSE,1.9629114233430092,"4.24 [0.0523, 72.5]"
muI1S2,$\mu_{I1S2}$,56.66629931799218,2.350042904439322,238.91305902775375,FALSE,FALSE,2.106862746937537,"56.7 [2.35, 239]"
muI2S2,$\mu_{I2S2}$,2.1882413195658255,0.3580192486603561,44.77114382280992,FALSE,FALSE,1.981260030747256,"2.19 [0.358, 44.8]"
q0,$q_0$,0.9737742932878788,0.08772392104282163,0.9998186351329571,FALSE,FALSE,2.0358452993242353,"0.974 [0.0877, 1.00]"
rho,$\rho$,0.01031136417446232,0.010311364174462323,0.2313533893753659,TRUE,TRUE,NA,"0.0103 [<0.0103, >0.231]"
tau,$\tau$,0.06656773109046166,0.0032854328423536088,0.09325573500976372,TRUE,FALSE,1.992149587671938,"0.0666 [<0.00329, 0.0933]"
sigOBS,$\sigma_{obs}$,0.1679275093582259,0.04808083004856905,0.15985336001924969,FALSE,FALSE,2.1248112538504245,"0.168 [0.0481, 0.160]"
sigPRO,$\sigma_{proc}$,0.14149362137998722,0.11414478978603941,0.1929461386114238,FALSE,FALSE,1.9751205716728673,"0.141 [0.114, 0.193]"
