name,parameter,mle,ci_low,ci_high,ci_low_truncated,ci_high_truncated,delta,label
b1,$b_1$,-2.909269379238365,-5.328975360820369,-2.6516913918027143,FALSE,FALSE,1.9830360188486709,"-2.91 [-5.33, -2.65]"
b2,$b_2$,-1.1523798714006714,-2.9325641519070826,-0.48089350768031736,FALSE,FALSE,1.9380875540529807,"-1.15 [-2.93, -0.481]"
b3,$b_3$,-3.5104154884288965,-5.541872828355071,-2.822816182138446,FALSE,FALSE,1.9535734727431686,"-3.51 [-5.54, -2.82]"
b4,$b_4$,1.089298768737161,-1.5728686516726547,2.01166522175493,FALSE,FALSE,1.9428272580523225,"1.09 [-1.57, 2.01]"
b5,$b_5$,-0.7563352958184046,-2.355912685194326,0.05999354948006985,FALSE,FALSE,1.948240582727384,"-0.756 [-2.36, 0.0600]"
b6,$b_6$,-0.02105363997354715,-1.834701723448945,0.9946471766733556,FALSE,FALSE,1.9650359495223384,"-0.0211 [-1.83, 0.995]"
bH,$b_H$,1.51086457940087,0.7344135480994471,2.854938936413698,FALSE,FALSE,1.9341742613561643,"1.51 [0.734, 2.85]"
betaOUT,$\beta_{out}$,5.7697845085753214e-5,3.1161068696280723e-7,6.302180232966107e-4,FALSE,FALSE,2.7220887530641784,"5.77e-05 [3.12e-07, 6.30e-04]"
alpha,$\alpha$,0.5022689941630447,0.28425560541887457,0.6564358724612798,FALSE,FALSE,1.9483177759832042,"0.502 [0.284, 0.656]"
S1_0,$S_1^0$,0.30182041888512834,0.07960221057318116,0.8669419463794025,FALSE,TRUE,2.010300411485835,"0.302 [0.0796, >0.867]"
S2_0,$S_2^0$,0.6058352229018801,0.12926212958457453,0.7982137172269749,FALSE,FALSE,2.0253473688629775,"0.606 [0.129, 0.798]"
E_0,$E^0$,6.207955855627253e-4,9.931575775885659e-5,0.0019764697211366276,FALSE,FALSE,2.0624226794816494,"6.21e-04 [9.93e-05, 0.00198]"
I1_0,$I_1^0$,0.0049228083585139,0.001630418076686726,0.12746993734071496,FALSE,FALSE,2.065464092365481,"0.00492 [0.00163, 0.127]"
I2_0,$I_2^0$,0.08680075426891494,0.017447322331421843,0.22179750079791694,FALSE,FALSE,2.0009325534333313,"0.0868 [0.0174, 0.222]"
F_0,$F^0$,0.7153054644371083,0.040965969367982254,0.8808668186865501,FALSE,FALSE,2.0631567614231483,"0.715 [0.0410, 0.881]"
K_0,$K^0$,0.04985305754926784,0.01582469281332521,0.15052612963174825,FALSE,FALSE,1.9597438455423026,"0.0499 [0.0158, 0.151]"
muEI1,$\mu_{EI1}$,23.74218146525526,13.141193615700683,30.243713285176185,FALSE,FALSE,1.9700859019888879,"23.7 [13.1, 30.2]"
muS2S1,$\mu_{S2S1}$,2.0638560611117915,0.5734947859839497,495.8617743392136,FALSE,TRUE,1.978686880946977,"2.06 [0.573, >496]"
muI1S2,$\mu_{I1S2}$,10.60705177895283,2.954051906239599,62.746520921657584,FALSE,FALSE,1.9532814810889214,"10.6 [2.95, 62.7]"
muI2S2,$\mu_{I2S2}$,1.985030644624604,0.4754602663950037,5.84939923432236,FALSE,FALSE,2.0355970694624967,"1.99 [0.475, 5.85]"
q0,$q_0$,0.9867108086669816,0.4767339096651334,0.9999968836024395,FALSE,FALSE,1.999790262369013,"0.987 [0.477, 1.00]"
rho,$\rho$,0.01199513936363636,0.010837188085858582,0.2518788986679716,TRUE,TRUE,96332.14961207486,"0.0120 [<0.0108, >0.252]"
tau,$\tau$,0.00619455113416802,0.0031799466313490203,0.024957821053204925,TRUE,FALSE,2.0618730766444724,"0.00619 [<0.00318, 0.0250]"
sigOBS,$\sigma_{obs}$,0.13849046385824723,0.05921228601314583,0.21521910778149872,FALSE,FALSE,2.1825420014059747,"0.138 [0.0592, 0.215]"
sigPRO,$\sigma_{proc}$,0.1399709971483963,0.1377354558487867,0.19589897992349178,FALSE,FALSE,2.006813222268816,"0.140 [0.138, 0.196]"
