name,parameter,mle,ci_low,ci_high,ci_low_truncated,ci_high_truncated,delta,label
b1,$b_1$,0.20297957777777764,-4.037128139393939,0.7516994,TRUE,TRUE,NA,"0.203 [<-4.04, >0.752]"
b2,$b_2$,1.6868513752789984,0.5371546873948803,1.7694715003596486,FALSE,FALSE,2.1693747600594073,"1.69 [0.537, 1.77]"
b3,$b_3$,1.9051121653505032,-0.0054968144489035975,2.4505627652535686,FALSE,FALSE,2.5076303403959117,"1.91 [-0.00550, 2.45]"
b4,$b_4$,4.376753642611626,3.3070492525798088,4.575057529803253,FALSE,FALSE,2.0794554782914676,"4.38 [3.31, 4.58]"
b5,$b_5$,1.959042282952254,0.6242464248868682,1.8078413519107794,FALSE,FALSE,2.6037419617904156,"1.96 [0.624, 1.81]"
b6,$b_6$,2.184090685952749,0.1307684872128485,2.717700319253263,FALSE,TRUE,7.855092574146545,"2.18 [0.131, >2.72]"
bH,$b_H$,0.28017279137682066,0.18826140409832348,1.0985307488588878,FALSE,FALSE,2.2180390058276744,"0.280 [0.188, 1.10]"
betaOUT,$\beta_{out}$,1.784220927849853e-5,7.868730500339098e-6,2.481494968920889e-4,FALSE,FALSE,2.5579101012892336,"1.78e-05 [7.87e-06, 2.48e-04]"
alpha,$\alpha$,0.7932258700702773,0.6626654201280945,0.9935372253746174,FALSE,FALSE,3.7434404724179413,"0.793 [0.663, 0.994]"
S1_0,$S_1^0$,0.22883479169675297,0.10350619221711051,0.30877670183790545,FALSE,FALSE,2.916778310688393,"0.229 [0.104, 0.309]"
S2_0,$S_2^0$,0.45642243921381975,0.40662593408128,0.667290111430183,FALSE,FALSE,2.5340968370316963,"0.456 [0.407, 0.667]"
E_0,$E^0$,0.00467246507961897,6.911810577270943e-4,0.0043417801212511055,FALSE,FALSE,3.3765423091593973,"0.00467 [6.91e-04, 0.00434]"
I1_0,$I_1^0$,0.04463378026462291,0.024518760401392416,0.5411735041430394,TRUE,TRUE,NA,"0.0446 [<0.0245, >0.541]"
I2_0,$I_2^0$,0.26543652374518534,0.07504817359249753,0.2496598351455784,FALSE,FALSE,2.8907235416221635,"0.265 [0.0750, 0.250]"
F_0,$F^0$,0.35126716240930345,0.35831812780802225,0.5767932591208033,FALSE,FALSE,2.4898005709624873,"0.351 [0.358, 0.577]"
K_0,$K^0$,0.06986134767808704,0.017529082605209554,0.03302519681162314,FALSE,FALSE,2.3283479550924278,"0.0699 [0.0175, 0.0330]"
muEI1,$\mu_{EI1}$,32.98359301972528,21.596629382276074,39.65277731778118,FALSE,FALSE,2.250771623425436,"33.0 [21.6, 39.7]"
muS2S1,$\mu_{S2S1}$,0.1760707045497282,0.03892612602683063,0.2793842519034923,FALSE,FALSE,2.3066727958409037,"0.176 [0.0389, 0.279]"
muI1S2,$\mu_{I1S2}$,183.00456451348185,19.316621771796573,473.2410367352497,FALSE,FALSE,4.396726694375827,"183 [19.3, 473]"
muI2S2,$\mu_{I2S2}$,11.608503326239122,4.876463777718267,11.529261826551163,FALSE,FALSE,2.337717319249237,"11.6 [4.88, 11.5]"
q0,$q_0$,0.7570648368135027,0.5155354803218262,0.9982026441592873,FALSE,FALSE,2.9611454271378297,"0.757 [0.516, 0.998]"
rho,$\rho$,0.01091269117240747,0.010759782059680421,0.07966930597472954,TRUE,TRUE,NA,"0.0109 [<0.0108, >0.0797]"
tau,$\tau$,0.037597984036336,0.03506072129613937,0.07365542488760579,FALSE,FALSE,2.55914892279728,"0.0376 [0.0351, 0.0737]"
sigOBS,$\sigma_{obs}$,0.13359742699024046,0.09419750377820096,0.1607650719311016,FALSE,FALSE,2.113962854683834,"0.134 [0.0942, 0.161]"
sigPRO,$\sigma_{proc}$,0.10498949866621834,0.09852988894395392,0.12699231979919426,FALSE,FALSE,3.821648870129362,"0.105 [0.0985, 0.127]"
